HomeTeam,AwayTeam,HomeGoals,AwayGoals,Country,League,Season,Date
Nice,Lorient,2,2,France,Ligue 1,2020-21,2020-12-23
Bordeaux,Reims,1,3,France,Ligue 1,2020-21,2020-12-23
Lens,Brest,2,1,France,Ligue 1,2020-21,2020-12-23
Rennes,Metz,1,0,France,Ligue 1,2020-21,2020-12-23
Nimes,Dijon,1,3,France,Ligue 1,2020-21,2020-12-23
Paris Saint Germain,Strasbourg,4,0,France,Ligue 1,2020-21,2020-12-23
Monaco,Saint-Etienne,2,2,France,Ligue 1,2020-21,2020-12-23
Lyon,Nantes,3,0,France,Ligue 1,2020-21,2020-12-23
Angers,Marseille,2,1,France,Ligue 1,2020-21,2020-12-23
Montpellier,Lille,2,3,France,Ligue 1,2020-21,2020-12-23
Lorient,Monaco,2,5,France,Ligue 1,2020-21,2021-01-06
Metz,Bordeaux,0,0,France,Ligue 1,2020-21,2021-01-06
Nantes,Rennes,0,0,France,Ligue 1,2020-21,2021-01-06
Strasbourg,Nimes,5,0,France,Ligue 1,2020-21,2021-01-06
Brest,Nice,2,0,France,Ligue 1,2020-21,2021-01-06
Saint-Etienne,Paris Saint Germain,1,1,France,Ligue 1,2020-21,2021-01-06
Reims,Dijon,0,0,France,Ligue 1,2020-21,2021-01-06
Lyon,Lens,3,2,France,Ligue 1,2020-21,2021-01-06
Lille,Angers,1,2,France,Ligue 1,2020-21,2021-01-06
Marseille,Montpellier,3,1,France,Ligue 1,2020-21,2021-01-06
Nimes,Lille,0,1,France,Ligue 1,2020-21,2021-01-09
Bordeaux,Lorient,2,1,France,Ligue 1,2020-21,2021-01-09
Dijon,Marseille,0,0,France,Ligue 1,2020-21,2021-01-09
Lens,Strasbourg,0,1,France,Ligue 1,2020-21,2021-01-09
Metz,Nice,1,1,France,Ligue 1,2020-21,2021-01-09
Monaco,Angers,3,0,France,Ligue 1,2020-21,2021-01-09
Montpellier,Nantes,1,1,France,Ligue 1,2020-21,2021-01-09
Paris Saint Germain,Brest,3,0,France,Ligue 1,2020-21,2021-01-09
Reims,Saint-Etienne,3,1,France,Ligue 1,2020-21,2021-01-09
Rennes,Lyon,2,2,France,Ligue 1,2020-21,2021-01-09
Montpellier,Monaco,2,3,France,Ligue 1,2020-21,2021-01-15
Marseille,Nimes,1,2,France,Ligue 1,2020-21,2021-01-16
Angers,Paris Saint Germain,0,1,France,Ligue 1,2020-21,2021-01-16
Brest,Rennes,1,2,France,Ligue 1,2020-21,2021-01-17
Nice,Bordeaux,0,3,France,Ligue 1,2020-21,2021-01-17
Strasbourg,Saint-Etienne,1,0,France,Ligue 1,2020-21,2021-01-17
Nantes,Lens,1,1,France,Ligue 1,2020-21,2021-01-17
Lille,Reims,2,1,France,Ligue 1,2020-21,2021-01-17
