HomeTeam,AwayTeam,HomeGoals,AwayGoals,Country,League,Season,Date
Genoa,Spezia,0,1,Italy,Serie A,2021-22,2022-01-09
Roma,Juventus,3,4,Italy,Serie A,2021-22,2022-01-09
Verona,Salernitana,1,2,Italy,Serie A,2021-22,2022-01-09
Inter,Lazio,2,1,Italy,Serie A,2021-22,2022-01-09
Torino,Fiorentina,4,0,Italy,Serie A,2021-22,2022-01-10
Cagliari,Bologna,2,1,Italy,Serie A,2021-22,2022-01-11
Sampdoria,Torino,1,2,Italy,Serie A,2021-22,2022-01-15
Salernitana,Lazio,0,3,Italy,Serie A,2021-22,2022-01-15
Juventus,Udinese,2,0,Italy,Serie A,2021-22,2022-01-15
Sassuolo,Verona,2,4,Italy,Serie A,2021-22,2022-01-16
Venezia,Empoli,1,1,Italy,Serie A,2021-22,2022-01-16
Roma,Cagliari,1,0,Italy,Serie A,2021-22,2022-01-16
Atalanta,Inter,0,0,Italy,Serie A,2021-22,2022-01-16
Bologna,Napoli,0,2,Italy,Serie A,2021-22,2022-01-17
AC Milan,Spezia,1,2,Italy,Serie A,2021-22,2022-01-17
Fiorentina,Genoa,6,0,Italy,Serie A,2021-22,2022-01-17
Verona,Bologna,2,1,Italy,Serie A,2021-22,2022-01-21
Genoa,Udinese,0,0,Italy,Serie A,2021-22,2022-01-22
Inter,Venezia,2,1,Italy,Serie A,2021-22,2022-01-22
Lazio,Atalanta,0,0,Italy,Serie A,2021-22,2022-01-22
Cagliari,Fiorentina,1,1,Italy,Serie A,2021-22,2022-01-23
Napoli,Salernitana,4,1,Italy,Serie A,2021-22,2022-01-23
Spezia,Sampdoria,1,0,Italy,Serie A,2021-22,2022-01-23
Torino,Sassuolo,1,1,Italy,Serie A,2021-22,2022-01-23
Empoli,Roma,2,4,Italy,Serie A,2021-22,2022-01-23
AC Milan,Juventus,0,0,Italy,Serie A,2021-22,2022-01-23
Roma,Genoa,0,0,Italy,Serie A,2021-22,2022-02-05
Inter,AC Milan,1,2,Italy,Serie A,2021-22,2022-02-05
Fiorentina,Lazio,0,3,Italy,Serie A,2021-22,2022-02-05
Atalanta,Cagliari,1,2,Italy,Serie A,2021-22,2022-02-06
Sampdoria,Sassuolo,4,0,Italy,Serie A,2021-22,2022-02-06
Venezia,Napoli,0,2,Italy,Serie A,2021-22,2022-02-06
Bologna,Empoli,0,0,Italy,Serie A,2021-22,2022-02-06
Udinese,Torino,2,0,Italy,Serie A,2021-22,2022-02-06
Juventus,Verona,2,0,Italy,Serie A,2021-22,2022-02-06
Salernitana,Spezia,2,2,Italy,Serie A,2021-22,2022-02-07
Lazio,Bologna,3,0,Italy,Serie A,2021-22,2022-02-12
Napoli,Inter,1,1,Italy,Serie A,2021-22,2022-02-12
Torino,Venezia,1,2,Italy,Serie A,2021-22,2022-02-12
AC Milan,Sampdoria,1,0,Italy,Serie A,2021-22,2022-02-13
Empoli,Cagliari,1,1,Italy,Serie A,2021-22,2022-02-13
Genoa,Salernitana,1,1,Italy,Serie A,2021-22,2022-02-13
Verona,Udinese,4,0,Italy,Serie A,2021-22,2022-02-13
Sassuolo,Roma,2,2,Italy,Serie A,2021-22,2022-02-13
Atalanta,Juventus,1,1,Italy,Serie A,2021-22,2022-02-13
Spezia,Fiorentina,1,2,Italy,Serie A,2021-22,2022-02-14
Juventus,Torino,1,1,Italy,Serie A,2021-22,2022-02-18
Sampdoria,Empoli,2,0,Italy,Serie A,2021-22,2022-02-19
Roma,Verona,2,2,Italy,Serie A,2021-22,2022-02-19
Salernitana,AC Milan,2,2,Italy,Serie A,2021-22,2022-02-19
Fiorentina,Atalanta,1,0,Italy,Serie A,2021-22,2022-02-20
Venezia,Genoa,1,1,Italy,Serie A,2021-22,2022-02-20
Inter,Sassuolo,0,2,Italy,Serie A,2021-22,2022-02-20
Udinese,Lazio,1,1,Italy,Serie A,2021-22,2022-02-20
Cagliari,Napoli,1,1,Italy,Serie A,2021-22,2022-02-21
Bologna,Spezia,2,1,Italy,Serie A,2021-22,2022-02-21
AC Milan,Udinese,1,1,Italy,Serie A,2021-22,2022-02-25
Genoa,Inter,0,0,Italy,Serie A,2021-22,2022-02-25
Salernitana,Bologna,1,1,Italy,Serie A,2021-22,2022-02-26
Empoli,Juventus,2,3,Italy,Serie A,2021-22,2022-02-26
Sassuolo,Fiorentina,2,1,Italy,Serie A,2021-22,2022-02-26
Torino,Cagliari,1,2,Italy,Serie A,2021-22,2022-02-27
Verona,Venezia,3,1,Italy,Serie A,2021-22,2022-02-27
Spezia,Roma,0,1,Italy,Serie A,2021-22,2022-02-27
Lazio,Napoli,1,2,Italy,Serie A,2021-22,2022-02-27
Atalanta,Sampdoria,4,0,Italy,Serie A,2021-22,2022-02-28
Inter,Salernitana,5,0,Italy,Serie A,2021-22,2022-03-04
